Feature,SHAP_Importance
bidirectional_mean_ps,0.6237505
bidirectional_max_ps,0.23079987
src2dst_min_ps,0.20738298
application_name,0.2056515
bidirectional_min_ps,0.13105811
bidirectional_stddev_piat_ms,0.12940218
bidirectional_max_piat_ms,0.10634568
bidirectional_bytes,0.0912184
bidirectional_min_piat_ms,0.08890135
dst2src_max_ps,0.0777788
src2dst_duration_ms,0.076320484
src2dst_bytes,0.07607225
splt_piat_ms_2,0.07389533
dst2src_stddev_ps,0.071801
protocol,0.06523903
application_category_name,0.062190212
src2dst_max_ps,0.06168753
bidirectional_duration_ms,0.056547035
bidirectional_stddev_ps,0.054848604
splt_piat_ms_1,0.05115645
src2dst_min_piat_ms,0.05082676
splt_ps_1,0.04714487
src2dst_stddev_piat_ms,0.0470301
src2dst_mean_ps,0.042066894
bidirectional_mean_piat_ms,0.036405176
application_confidence,0.036361754
dst2src_bytes,0.03508617
dst2src_stddev_piat_ms,0.033658706
dst2src_min_ps,0.03302713
splt_piat_ms_3,0.03129211
splt_direction_1,0.03028507
dst2src_mean_ps,0.028286166
src2dst_stddev_ps,0.027967006
src2dst_max_piat_ms,0.026536776
splt_ps_0,0.026419241
splt_piat_ms_7,0.023326535
splt_piat_ms_4,0.020894045
dst2src_mean_piat_ms,0.020865142
bidirectional_syn_packets,0.020821437
splt_piat_ms_5,0.020636497
splt_piat_ms_6,0.019145485
splt_piat_ms_8,0.018488936
splt_ps_2,0.017625665
splt_ps_3,0.015447864
src2dst_mean_piat_ms,0.015231838
dst2src_duration_ms,0.01507932
dst2src_max_piat_ms,0.014379274
dst2src_syn_packets,0.013634344
splt_ps_5,0.01347225
dst2src_packets,0.012317265
ip_version,0.012118078
bidirectional_psh_packets,0.012093209
bidirectional_packets,0.011779818
splt_piat_ms_9,0.011756243
dst2src_min_piat_ms,0.011711402
src2dst_psh_packets,0.0116702095
dst2src_fin_packets,0.011584616
src2dst_packets,0.011276364
splt_ps_4,0.011139372
bidirectional_fin_packets,0.008676368
bidirectional_ack_packets,0.00793127
bidirectional_ece_packets,0.0072756303
dst2src_psh_packets,0.006368361
splt_direction_4,0.006173842
src2dst_fin_packets,0.00606251
dst2src_ack_packets,0.005207538
src2dst_ack_packets,0.0052035064
src2dst_syn_packets,0.004835601
splt_ps_6,0.0045757545
splt_ps_7,0.0045060324
bidirectional_rst_packets,0.0045057465
splt_ps_9,0.0041448586
src2dst_rst_packets,0.0032453258
splt_ps_8,0.0028260043
splt_direction_6,0.002716176
bidirectional_cwr_packets,0.0020039366
splt_direction_2,0.0016664789
dst2src_ece_packets,0.0015561251
splt_direction_3,0.0015365944
dst2src_rst_packets,0.0014382462
src2dst_ece_packets,0.0013281436
splt_direction_9,0.001233195
splt_direction_8,0.0010484706
splt_direction_5,0.00092315854
splt_direction_7,0.0008328789
src2dst_cwr_packets,0.0005275118
dst2src_urg_packets,0.0
bidirectional_urg_packets,0.0
splt_piat_ms_0,0.0
splt_direction_0,0.0
dst2src_cwr_packets,0.0
src2dst_urg_packets,0.0
