,Benign_Final,DDoS-ACK_Fragmentation,DDoS-HTTP_Flood,DDoS-ICMP_Flood,DDoS-ICMP_Fragmentation,DDoS-PSHACK_Flood,DDoS-RSTFINFlood,DDoS-SYN_Flood,DDoS-SlowLoris,DDoS-SynonymousIP_Flood,DDoS-TCP_Flood,DDoS-UDP_Flood,DDoS-UDP_Fragmentation,DoS-HTTP_Flood,DoS-SYN_Flood,DoS-TCP_Flood,DoS-UDP_Flood,Mirai-greeth_flood,Mirai-greip_flood,Mirai-udpplain,Recon-HostDiscovery,Recon-OSScan,Recon-PortScan,VulnerabilityScan
Benign_Final,8124,0,0,160,0,1,0,0,0,0,0,13,0,73,0,0,1,49,111,196,47,119,106,0
DDoS-ACK_Fragmentation,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-HTTP_Flood,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-ICMP_Flood,274,0,0,6325,0,0,0,0,0,0,1,161,0,54,1,4,4,450,598,740,20,167,201,0
DDoS-ICMP_Fragmentation,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-PSHACK_Flood,3,0,0,8,0,8960,0,0,0,3,0,3,0,0,0,0,0,3,12,8,0,0,0,0
DDoS-RSTFINFlood,2,0,0,8,0,0,8957,0,0,2,0,1,0,0,0,0,0,5,10,15,0,0,0,0
DDoS-SYN_Flood,3,0,0,26,0,0,0,8939,0,0,0,3,0,2,11,0,0,2,4,5,0,2,3,0
DDoS-SlowLoris,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-SynonymousIP_Flood,28,0,0,64,0,0,1,0,0,8767,0,2,0,1,1,1,2,24,47,58,2,1,1,0
DDoS-TCP_Flood,2,0,0,17,0,0,0,0,0,0,8854,5,0,1,1,104,1,3,6,5,0,1,0,0
DDoS-UDP_Flood,134,0,0,814,0,0,0,0,0,0,0,7172,0,84,5,3,123,147,176,246,2,69,25,0
DDoS-UDP_Fragmentation,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0
DoS-HTTP_Flood,235,0,0,189,0,0,0,0,0,0,0,85,0,8112,3,2,10,24,97,115,17,76,35,0
DoS-SYN_Flood,60,0,0,146,0,0,0,1,0,1,0,18,0,24,8573,2,2,27,36,61,4,28,17,0
DoS-TCP_Flood,17,0,0,80,0,0,0,0,0,0,8,25,0,6,3,8743,6,16,34,51,1,8,2,0
DoS-UDP_Flood,82,0,0,270,0,0,0,0,0,0,0,118,0,51,7,3,8176,53,72,119,4,34,11,0
Mirai-greeth_flood,259,0,0,655,0,0,0,0,0,1,0,27,0,18,0,0,4,5685,885,1413,31,13,9,0
Mirai-greip_flood,277,0,0,546,0,0,2,0,0,0,0,34,0,9,1,0,1,706,6131,1230,19,28,16,0
Mirai-udpplain,523,0,0,579,0,0,0,0,0,1,0,29,0,15,0,2,3,778,1242,5722,52,32,22,0
Recon-HostDiscovery,328,0,0,51,0,0,1,0,0,0,0,3,0,4,0,0,1,19,39,77,8406,32,39,0
Recon-OSScan,506,0,0,250,0,0,0,0,0,0,0,40,0,36,2,0,3,14,58,83,26,7301,681,0
Recon-PortScan,421,0,0,168,0,0,0,0,0,0,0,4,0,11,5,0,0,24,73,69,40,598,7587,0
VulnerabilityScan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000
