Feature,Importance
src2dst_syn_packets,0.2047481
bidirectional_syn_packets,0.14096121
dst2src_rst_packets,0.088405654
bidirectional_packets,0.045814015
dst2src_syn_packets,0.04076964
src2dst_min_ps,0.035767276
src2dst_bytes,0.031263653
bidirectional_mean_ps,0.03049462
bidirectional_mean_piat_ms,0.029091926
bidirectional_max_ps,0.025656272
dst2src_min_ps,0.024902344
src2dst_mean_piat_ms,0.024108613
bidirectional_min_ps,0.018690608
src2dst_urg_packets,0.01740243
src2dst_packets,0.016806459
protocol,0.016546888
src2dst_rst_packets,0.014812889
bidirectional_bytes,0.013674049
src2dst_duration_ms,0.012560196
src2dst_max_ps,0.009541423
dst2src_psh_packets,0.008871202
bidirectional_min_piat_ms,0.008403492
dst2src_max_ps,0.007679755
bidirectional_ece_packets,0.007391382
dst2src_ack_packets,0.0069783228
src2dst_mean_ps,0.006412253
bidirectional_duration_ms,0.006343282
dst2src_fin_packets,0.0062925336
dst2src_bytes,0.005831293
src2dst_max_piat_ms,0.005770964
dst2src_mean_ps,0.0055775493
bidirectional_max_piat_ms,0.0048634894
bidirectional_ack_packets,0.004744241
dst2src_packets,0.00470025
bidirectional_rst_packets,0.004097248
src2dst_min_piat_ms,0.0040913564
src2dst_stddev_piat_ms,0.0038340862
dst2src_mean_piat_ms,0.0037707414
bidirectional_stddev_ps,0.0036036796
ip_version,0.0034800838
bidirectional_psh_packets,0.0033884365
dst2src_duration_ms,0.003375571
src2dst_fin_packets,0.0033719274
bidirectional_urg_packets,0.0031423476
bidirectional_stddev_piat_ms,0.003025429
src2dst_stddev_ps,0.0029367283
dst2src_max_piat_ms,0.002794333
src2dst_ack_packets,0.0027782475
bidirectional_cwr_packets,0.0027454349
dst2src_stddev_piat_ms,0.0024483912
src2dst_psh_packets,0.002368192
bidirectional_fin_packets,0.002090705
dst2src_stddev_ps,0.0020855495
src2dst_ece_packets,0.0020480386
dst2src_ece_packets,0.0019428431
dst2src_min_piat_ms,0.0017606752
src2dst_cwr_packets,0.0014870204
dst2src_urg_packets,0.0007405867
dst2src_cwr_packets,0.00071412046
